x	y	psi	u	v	p
0.000000	0.718750	0.000000	0.000000	0.000000	-0.001209
0.000000	0.726563	0.000000	0.000000	0.000000	-0.001392
0.000000	0.734375	0.000000	0.000000	0.000000	-0.001556
0.000000	0.742188	0.000000	0.000000	0.000000	-0.001702
0.000000	0.750000	0.000000	0.000000	0.000000	-0.001831
0.000000	0.757813	0.000000	0.000000	0.000000	-0.001946
0.000000	0.765625	0.000000	0.000000	0.000000	-0.002048
0.000000	0.773438	0.000000	0.000000	0.000000	-0.002140
0.000000	0.781250	0.000000	0.000000	0.000000	-0.002223
0.000000	0.789063	0.000000	0.000000	0.000000	-0.002300
0.000000	0.796875	0.000000	0.000000	0.000000	-0.002374
0.000000	0.804688	0.000000	0.000000	0.000000	-0.002448
0.000000	0.812500	0.000000	0.000000	0.000000	-0.002525
0.000000	0.820313	0.000000	0.000000	0.000000	-0.002609
0.000000	0.828125	0.000000	0.000000	0.000000	-0.002706
0.000000	0.835938	0.000000	0.000000	0.000000	-0.002822
0.000000	0.843750	0.000000	0.000000	0.000000	-0.002965
0.000000	0.851563	0.000000	0.000000	0.000000	-0.003147
0.000000	0.859375	0.000000	0.000000	0.000000	-0.003382
0.000000	0.867188	0.000000	0.000000	0.000000	-0.003690
0.000000	0.875000	0.000000	0.000000	0.000000	-0.004096
0.000000	0.882813	0.000000	0.000000	0.000000	-0.004637
0.000000	0.890625	0.000000	0.000000	0.000000	-0.005364
0.000000	0.898438	0.000000	0.000000	0.000000	-0.006346
0.000000	0.906250	0.000000	0.000000	0.000000	-0.007680
0.000000	0.914063	0.000000	0.000000	0.000000	-0.009507
0.000000	0.921875	0.000000	0.000000	0.000000	-0.012028
0.000000	0.929688	0.000000	0.000000	0.000000	-0.015545
0.000000	0.937500	0.000000	0.000000	0.000000	-0.020532
0.000000	0.945313	0.000000	0.000000	0.000000	-0.027769
0.000000	0.953125	0.000000	0.000000	0.000000	-0.038669
0.000000	0.960938	0.000000	0.000000	0.000000	-0.056075
0.000000	0.968750	0.000000	0.000000	0.000000	-0.086551
0.000000	0.976563	0.000000	0.000000	0.000000	-0.147631
0.000000	0.984375	0.000000	0.000000	0.000000	-0.289652
0.000000	0.992188	0.000000	0.500000	0.000000	-0.624128
0.000000	1.000000	0.007813	1.000000	0.000000	-0.857999
0.007813	0.000000	0.000000	0.000000	0.000000	0.035408
0.007813	0.007813	0.000000	0.000013	-0.000013	0.035404
0.007813	0.015625	0.000000	0.000026	-0.000049	0.035400
0.007813	0.023438	0.000000	0.000034	-0.000099	0.035403
0.007813	0.031250	0.000001	0.000036	-0.000156	0.035418
0.007813	0.039063	0.000001	0.000034	-0.000210	0.035444
0.007813	0.046875	0.000001	0.000028	-0.000256	0.035482
0.007813	0.054688	0.000001	0.000019	-0.000288	0.035531
0.007813	0.062500	0.000002	0.000009	-0.000303	0.035589
0.007813	0.070313	0.000002	-0.000003	-0.000296	0.035657
0.007813	0.078125	0.000002	-0.000016	-0.000267	0.035732
0.007813	0.085938	0.000001	-0.000031	-0.000211	0.035814
0.007813	0.093750	0.000001	-0.000046	-0.000127	0.035901
0.007813	0.101563	0.000001	-0.000062	-0.000014	0.035992
0.007813	0.109375	0.000000	-0.000079	0.000130	0.036085
0.007813	0.117188	-0.000001	-0.000097	0.000306	0.036179
0.007813	0.125000	-0.000001	-0.000115	0.000516	0.036273
0.007813	0.132813	-0.000002	-0.000134	0.000761	0.036365
0.007813	0.140625	-0.000004	-0.000153	0.001041	0.036453
0.007813	0.148438	-0.000005	-0.000173	0.001357	0.036536
0.007813	0.156250	-0.000006	-0.000192	0.001709	0.036612
0.007813	0.164063	-0.000008	-0.000212	0.002099	0.036679
0.007813	0.171875	-0.000010	-0.000233	0.002526	0.036736
0.007813	0.179688	-0.000011	-0.000253	0.002990	0.036780
0.007813	0.187500	-0.000014	-0.000273	0.003491	0.036809
0.007813	0.195313	-0.000016	-0.000292	0.004029	0.036823
0.007813	0.203125	-0.000018	-0.000312	0.004603	0.036818
0.007813	0.210938	-0.000021	-0.000330	0.005212	0.036792
0.007813	0.218750	-0.000023	-0.000349	0.005856	0.036745
0.007813	0.226563	-0.000026	-0.000366	0.006533	0.036674
0.007813	0.234375	-0.000029	-0.000383	0.007241	0.036576
0.007813	0.242188	-0.000032	-0.000399	0.007980	0.036452
0.007813	0.250000	-0.000035	-0.000414	0.008747	0.036298
0.007813	0.257813	-0.000039	-0.000428	0.009540	0.036113
0.007813	0.265625	-0.000042	-0.000440	0.010358	0.035897
0.007813	0.273438	-0.000045	-0.000451	0.011197	0.035647
0.007813	0.281250	-0.000049	-0.000461	0.012055	0.035362
0.007813	0.289063	-0.000053	-0.000469	0.012930	0.035042
0.007813	0.296875	-0.000056	-0.000476	0.013819	0.034686
0.007813	0.304688	-0.000060	-0.000481	0.014719	0.034293
0.007813	0.312500	-0.000064	-0.000484	0.015626	0.033863
0.007813	0.320313	-0.000068	-0.000485	0.016537	0.033395
0.007813	0.328125	-0.000071	-0.000485	0.017450	0.032890
0.007813	0.335938	-0.000075	-0.000483	0.018361	0.032348
0.007813	0.343750	-0.000079	-0.000479	0.019267	0.031770
0.007813	0.351563	-0.000083	-0.000473	0.020165	0.031156
0.007813	0.359375	-0.000086	-0.000465	0.021050	0.030507
0.007813	0.367188	-0.000090	-0.000456	0.021920	0.029824
0.007813	0.375000	-0.000093	-0.000445	0.022772	0.029109
0.007813	0.382813	-0.000097	-0.000432	0.023603	0.028364
0.007813	0.390625	-0.000100	-0.000417	0.024409	0.027589
0.007813	0.398438	-0.000103	-0.000401	0.025188	0.026788
0.007813	0.406250	-0.000106	-0.000384	0.025937	0.025962
0.007813	0.414063	-0.000109	-0.000365	0.026653	0.025113
0.007813	0.421875	-0.000112	-0.000345	0.027333	0.024245
0.007813	0.429688	-0.000115	-0.000323	0.027976	0.023359
0.007813	0.437500	-0.000117	-0.000301	0.028579	0.022458
0.007813	0.445313	-0.000119	-0.000277	0.029141	0.021545
0.007813	0.453125	-0.000121	-0.000253	0.029659	0.020622
0.007813	0.460938	-0.000123	-0.000228	0.030132	0.019694
0.007813	0.468750	-0.000125	-0.000203	0.030560	0.018761
0.007813	0.476563	-0.000127	-0.000177	0.030940	0.017828
0.007813	0.484375	-0.000128	-0.000150	0.031272	0.016896
0.007813	0.492188	-0.000129	-0.000124	0.031555	0.015969
0.007813	0.500000	-0.000130	-0.000097	0.031790	0.015050
0.007813	0.507813	-0.000130	-0.000071	0.031975	0.014140
0.007813	0.515625	-0.000131	-0.000045	0.032112	0.013243
0.007813	0.523438	-0.000131	-0.000019	0.032200	0.012361
0.007813	0.531250	-0.000131	0.000007	0.032240	0.011496
0.007813	0.539063	-0.000131	0.000032	0.032233	0.010650
0.007813	0.546875	-0.000131	0.000056	0.032180	0.009826
0.007813	0.554688	-0.000130	0.000079	0.032082	0.009025
0.007813	0.562500	-0.000129	0.000102	0.031940	0.008248
0.007813	0.570313	-0.000129	0.000123	0.031756	0.007498
0.007813	0.578125	-0.000127	0.000144	0.031532	0.006775
0.007813	0.585938	-0.000126	0.000163	0.031269	0.006080
0.007813	0.593750	-0.000125	0.000182	0.030970	0.005415
0.007813	0.601563	-0.000123	0.000199	0.030637	0.004781
0.007813	0.609375	-0.000122	0.000214	0.030272	0.004177
0.007813	0.617188	-0.000120	0.000228	0.029877	0.003604
0.007813	0.625000	-0.000118	0.000241	0.029456	0.003063
0.007813	0.632813	-0.000116	0.000253	0.029010	0.002553
0.007813	0.640625	-0.000114	0.000262	0.028543	0.002074
0.007813	0.648438	-0.000112	0.000271	0.028057	0.001627
0.007813	0.656250	-0.000110	0.000277	0.027556	0.001209
0.007813	0.664063	-0.000108	0.000282	0.027041	0.000822
0.007813	0.671875	-0.000106	0.000286	0.026517	0.000463
0.007813	0.679688	-0.000103	0.000288	0.025986	0.000133
0.007813	0.687500	-0.000101	0.000288	0.025451	-0.000170
0.007813	0.695313	-0.000099	0.000286	0.024917	-0.000446
0.007813	0.703125	-0.000097	0.000283	0.024385	-0.000698
0.007813	0.710938	-0.000095	0.000277	0.023860	-0.000927
0.007813	0.718750	-0.000092	0.000270	0.023345	-0.001133
0.007813	0.726563	-0.000090	0.000261	0.022843	-0.001319
0.007813	0.734375	-0.000088	0.000250	0.022360	-0.001485
0.007813	0.742188	-0.000086	0.000236	0.021899	-0.001634
0.007813	0.750000	-0.000085	0.000220	0.021464	-0.001768
0.007813	0.757813	-0.000083	0.000202	0.021060	-0.001888
0.007813	0.765625	-0.000081	0.000180	0.020694	-0.001996
0.007813	0.773438	-0.000080	0.000155	0.020370	-0.002094
0.007813	0.781250	-0.000079	0.000126	0.020097	-0.002186
0.007813	0.789063	-0.000078	0.000092	0.019881	-0.002272
0.007813	0.796875	-0.000078	0.000053	0.019733	-0.002357
0.007813	0.804688	-0.000077	0.000008	0.019663	-0.002443
0.007813	0.812500	-0.000077	-0.000046	0.019685	-0.002535
0.007813	0.820313	-0.000078	-0.000109	0.019813	-0.002637
0.007813	0.828125	-0.000079	-0.000184	0.020069	-0.002754
0.007813	0.835938	-0.000081	-0.000274	0.020474	-0.002895
0.007813	0.843750	-0.000083	-0.000382	0.021059	-0.003067
0.007813	0.851563	-0.000087	-0.000514	0.021859	-0.003284
0.007813	0.859375	-0.000091	-0.000675	0.022919	-0.003561
0.007813	0.867188	-0.000097	-0.000873	0.024294	-0.003918
0.007813	0.875000	-0.000105	-0.001120	0.026056	-0.004385
0.007813	0.882813	-0.000115	-0.001428	0.028291	-0.005001
0.007813	0.890625	-0.000127	-0.001817	0.031112	-0.005817
0.007813	0.898438	-0.000143	-0.002310	0.034661	-0.006909
0.007813	0.906250	-0.000164	-0.002946	0.039120	-0.008378
0.007813	0.914063	-0.000189	-0.003776	0.044729	-0.010371
0.007813	0.921875	-0.000223	-0.004882	0.051805	-0.013098
0.007813	0.929688	-0.000266	-0.006403	0.060784	-0.016872
0.007813	0.937500	-0.000323	-0.008581	0.072279	-0.022175
0.007813	0.945313	-0.000400	-0.011883	0.087187	-0.029782
0.007813	0.953125	-0.000508	-0.017259	0.106857	-0.041027
0.007813	0.960938	-0.000669	-0.026725	0.133324	-0.058369
