x	y	T	T(actual)
0.019802	0.732673	0.007661	0.007660
0.019802	0.752475	0.007956	0.007955
0.019802	0.772277	0.008259	0.008258
0.019802	0.792079	0.008570	0.008569
0.019802	0.811881	0.008889	0.008888
0.019802	0.831683	0.009217	0.009215
0.019802	0.851485	0.009553	0.009552
0.019802	0.871287	0.009899	0.009898
0.019802	0.891089	0.010254	0.010253
0.019802	0.910891	0.010620	0.010618
0.019802	0.930693	0.010995	0.010994
0.019802	0.950495	0.011381	0.011380
0.019802	0.970297	0.011779	0.011777
0.019802	0.990099	0.012187	0.012186
0.019802	1.009901	0.012608	0.012606
0.019802	1.029703	0.013040	0.013039
0.019802	1.049505	0.013485	0.013484
0.019802	1.069307	0.013944	0.013942
0.019802	1.089109	0.014415	0.014414
0.019802	1.108911	0.014901	0.014899
0.019802	1.128713	0.015401	0.015400
0.019802	1.148515	0.015916	0.015915
0.019802	1.168317	0.016447	0.016445
0.019802	1.188119	0.016993	0.016991
0.019802	1.207921	0.017556	0.017554
0.019802	1.227723	0.018135	0.018134
0.019802	1.247525	0.018733	0.018731
0.019802	1.267327	0.019348	0.019346
0.019802	1.287129	0.019982	0.019980
0.019802	1.306931	0.020636	0.020634
0.019802	1.326733	0.021309	0.021307
0.019802	1.346535	0.022003	0.022001
0.019802	1.366337	0.022718	0.022717
0.019802	1.386139	0.023456	0.023454
0.019802	1.405941	0.024216	0.024214
0.019802	1.425743	0.024999	0.024997
0.019802	1.445545	0.025807	0.025805
0.019802	1.465347	0.026639	0.026638
0.019802	1.485149	0.027498	0.027496
0.019802	1.504950	0.028383	0.028381
0.019802	1.524752	0.029295	0.029293
0.019802	1.544554	0.030236	0.030234
0.019802	1.564356	0.031206	0.031204
0.019802	1.584158	0.032206	0.032204
0.019802	1.603960	0.033237	0.033236
0.019802	1.623762	0.034301	0.034299
0.019802	1.643564	0.035397	0.035396
0.019802	1.663366	0.036528	0.036527
0.019802	1.683168	0.037695	0.037693
0.019802	1.702970	0.038897	0.038896
0.019802	1.722772	0.040138	0.040136
0.019802	1.742574	0.041417	0.041415
0.019802	1.762376	0.042736	0.042735
0.019802	1.782178	0.044097	0.044095
0.019802	1.801980	0.045500	0.045499
0.019802	1.821782	0.046947	0.046946
0.019802	1.841584	0.048440	0.048439
0.019802	1.861386	0.049979	0.049979
0.019802	1.881188	0.051567	0.051567
0.019802	1.900990	0.053205	0.053205
0.019802	1.920792	0.054894	0.054894
0.019802	1.940594	0.056637	0.056636
0.019802	1.960396	0.058434	0.058434
0.019802	1.980198	0.060288	0.060288
0.019802	2.000000	0.062200	0.062200
0.039604	0.000000	0.000000	0.000000
0.039604	0.019802	0.000335	0.000335
0.039604	0.039604	0.000670	0.000670
0.039604	0.059406	0.001006	0.001006
0.039604	0.079208	0.001343	0.001343
0.039604	0.099010	0.001681	0.001681
0.039604	0.118812	0.002021	0.002021
0.039604	0.138614	0.002363	0.002363
0.039604	0.158416	0.002707	0.002707
0.039604	0.178218	0.003054	0.003054
0.039604	0.198020	0.003404	0.003403
0.039604	0.217822	0.003757	0.003756
0.039604	0.237624	0.004113	0.004113
0.039604	0.257426	0.004474	0.004473
0.039604	0.277228	0.004839	0.004838
0.039604	0.297030	0.005208	0.005208
0.039604	0.316832	0.005583	0.005582
0.039604	0.336634	0.005963	0.005962
0.039604	0.356436	0.006349	0.006348
0.039604	0.376238	0.006741	0.006740
0.039604	0.396040	0.007139	0.007138
0.039604	0.415842	0.007545	0.007544
0.039604	0.435644	0.007957	0.007956
0.039604	0.455446	0.008378	0.008377
0.039604	0.475248	0.008806	0.008805
0.039604	0.495050	0.009243	0.009242
0.039604	0.514851	0.009689	0.009688
0.039604	0.534653	0.010145	0.010143
0.039604	0.554455	0.010610	0.010608
0.039604	0.574257	0.011085	0.011083
0.039604	0.594059	0.011571	0.011570
0.039604	0.613861	0.012069	0.012067
0.039604	0.633663	0.012578	0.012576
0.039604	0.653465	0.013099	0.013097
0.039604	0.673267	0.013633	0.013631
0.039604	0.693069	0.014180	0.014178
0.039604	0.712871	0.014740	0.014738
0.039604	0.732673	0.015315	0.015313
0.039604	0.752475	0.015905	0.015903
0.039604	0.772277	0.016510	0.016508
0.039604	0.792079	0.017132	0.017129
0.039604	0.811881	0.017769	0.017767
0.039604	0.831683	0.018424	0.018422
0.039604	0.851485	0.019097	0.019095
0.039604	0.871287	0.019788	0.019786
0.039604	0.891089	0.020499	0.020496
0.039604	0.910891	0.021229	0.021226
0.039604	0.930693	0.021980	0.021977
0.039604	0.950495	0.022752	0.022749
0.039604	0.970297	0.023546	0.023543
0.039604	0.990099	0.024363	0.024360
0.039604	1.009901	0.025203	0.025200
0.039604	1.029703	0.026068	0.026065
0.039604	1.049505	0.026958	0.026955
0.039604	1.069307	0.027874	0.027871
0.039604	1.089109	0.028817	0.028814
0.039604	1.108911	0.029788	0.029785
0.039604	1.128713	0.030787	0.030784
0.039604	1.148515	0.031817	0.031814
0.039604	1.168317	0.032877	0.032874
0.039604	1.188119	0.033969	0.033966
0.039604	1.207921	0.035094	0.035091
0.039604	1.227723	0.036253	0.036250
0.039604	1.247525	0.037447	0.037444
0.039604	1.267327	0.038677	0.038674
0.039604	1.287129	0.039945	0.039942
0.039604	1.306931	0.041251	0.041248
0.039604	1.326733	0.042597	0.042594
0.039604	1.346535	0.043985	0.043981
0.039604	1.366337	0.045415	0.045411
0.039604	1.386139	0.046889	0.046885
0.039604	1.405941	0.048408	0.048404
0.039604	1.425743	0.049974	0.049971
0.039604	1.445545	0.051588	0.051585
0.039604	1.465347	0.053253	0.053249
0.039604	1.485149	0.054969	0.054965
0.039604	1.504950	0.056738	0.056734
0.039604	1.524752	0.058562	0.058558
0.039604	1.544554	0.060442	0.060439
0.039604	1.564356	0.062381	0.062378
0.039604	1.584158	0.064381	0.064377
0.039604	1.603960	0.066442	0.066439
0.039604	1.623762	0.068568	0.068565
0.039604	1.643564	0.070760	0.070757
0.039604	1.663366	0.073021	0.073018
0.039604	1.683168	0.075353	0.075350
0.039604	1.702970	0.077757	0.077754
0.039604	1.722772	0.080236	0.080234
0.039604	1.742574	0.082794	0.082791
0.039604	1.762376	0.085431	0.085428
0.039604	1.782178	0.088151	0.088148
0.039604	1.801980	0.090956	0.090954
0.039604	1.821782	0.093849	0.093847
0.039604	1.841584	0.096833	0.096831
0.039604	1.861386	0.099911	0.099909
0.039604	1.881188	0.103085	0.103083
0.039604	1.900990	0.106359	0.106358
0.039604	1.920792	0.109736	0.109735
0.039604	1.940594	0.113219	0.113218
0.039604	1.960396	0.116811	0.116811
0.039604	1.980198	0.120517	0.120517
0.039604	2.000000	0.124339	0.124339
0.059406	0.000000	0.000000	0.000000
0.059406	0.019802	0.000502	0.000502
0.059406	0.039604	0.001005	0.001005
0.059406	0.059406	0.001508	0.001508
0.059406	0.079208	0.002013	0.002013
0.059406	0.099010	0.002520	0.002520
0.059406	0.118812	0.003030	0.003029
0.059406	0.138614	0.003542	0.003541
0.059406	0.158416	0.004058	0.004057
0.059406	0.178218	0.004577	0.004577
0.059406	0.198020	0.005102	0.005101
0.059406	0.217822	0.005631	0.005630
0.059406	0.237624	0.006165	0.006164
0.059406	0.257426	0.006706	0.006704
0.059406	0.277228	0.007252	0.007251
0.059406	0.297030	0.007806	0.007805
0.059406	0.316832	0.008368	0.008367
0.059406	0.336634	0.008938	0.008936
0.059406	0.356436	0.009516	0.009514
0.059406	0.376238	0.010103	0.010102
0.059406	0.396040	0.010700	0.010699
0.059406	0.415842	0.011308	0.011306
0.059406	0.435644	0.011927	0.011925
0.059406	0.455446	0.012557	0.012555
0.059406	0.475248	0.013199	0.013197
0.059406	0.495050	0.013854	0.013852
0.059406	0.514851	0.014522	0.014520
0.059406	0.534653	0.015205	0.015202
0.059406	0.554455	0.015902	0.015899
0.059406	0.574257	0.016614	0.016612
0.059406	0.594059	0.017343	0.017340
0.059406	0.613861	0.018088	0.018086
0.059406	0.633663	0.018851	0.018848
0.059406	0.653465	0.019632	0.019629
0.059406	0.673267	0.020432	0.020429
0.059406	0.693069	0.021252	0.021249
0.059406	0.712871	0.022093	0.022090
0.059406	0.732673	0.022955	0.022951
0.059406	0.752475	0.023839	0.023835
0.059406	0.772277	0.024746	0.024742
0.059406	0.792079	0.025677	0.025673
0.059406	0.811881	0.026633	0.026629
0.059406	0.831683	0.027614	0.027611
0.059406	0.851485	0.028623	0.028619
0.059406	0.871287	0.029659	0.029655
0.059406	0.891089	0.030723	0.030719
0.059406	0.910891	0.031818	0.031814
0.059406	0.930693	0.032943	0.032939
0.059406	0.950495	0.034100	0.034096
0.059406	0.970297	0.035290	0.035286
0.059406	0.990099	0.036514	0.036510
0.059406	1.009901	0.037774	0.037770
0.059406	1.029703	0.039070	0.039066
0.059406	1.049505	0.040404	0.040399
0.059406	1.069307	0.041777	0.041772
0.059406	1.089109	0.043190	0.043186
0.059406	1.108911	0.044646	0.044641
0.059406	1.128713	0.046144	0.046139
0.059406	1.148515	0.047687	0.047682
0.059406	1.168317	0.049276	0.049271
0.059406	1.188119	0.050913	0.050908
0.059406	1.207921	0.052599	0.052594
0.059406	1.227723	0.054336	0.054331
0.059406	1.247525	0.056125	0.056120
0.059406	1.267327	0.057969	0.057964
0.059406	1.287129	0.059869	0.059864
0.059406	1.306931	0.061827	0.061822
0.059406	1.326733	0.063845	0.063840
0.059406	1.346535	0.065924	0.065919
0.059406	1.366337	0.068067	0.068062
0.059406	1.386139	0.070276	0.070271
0.059406	1.405941	0.072553	0.072548
0.059406	1.425743	0.074901	0.074895
0.059406	1.445545	0.077320	0.077315
0.059406	1.465347	0.079815	0.079810
0.059406	1.485149	0.082386	0.082381
0.059406	1.504950	0.085038	0.085033
0.059406	1.524752	0.087771	0.087766
0.059406	1.544554	0.090590	0.090585
0.059406	1.564356	0.093496	0.093491
0.059406	1.584158	0.096493	0.096488
0.059406	1.603960	0.099583	0.099578
0.059406	1.623762	0.102769	0.102765
0.059406	1.643564	0.106055	0.106050
0.059406	1.663366	0.109444	0.109439
0.059406	1.683168	0.112938	0.112933
0.059406	1.702970	0.116541	0.116537
0.059406	1.722772	0.120258	0.120253
0.059406	1.742574	0.124090	0.124086
0.059406	1.762376	0.128043	0.128039
0.059406	1.782178	0.132119	0.132116
0.059406	1.801980	0.136324	0.136320
0.059406	1.821782	0.140660	0.140657
0.059406	1.841584	0.145132	0.145129
0.059406	1.861386	0.149745	0.149742
0.059406	1.881188	0.154503	0.154500
0.059406	1.900990	0.159410	0.159408
0.059406	1.920792	0.164471	0.164469
0.059406	1.940594	0.169691	0.169690
0.059406	1.960396	0.175076	0.175075
0.059406	1.980198	0.180630	0.180629
0.059406	2.000000	0.186359	0.186359
0.079208	0.000000	0.000000	0.000000
0.079208	0.019802	0.000669	0.000669
0.079208	0.039604	0.001338	0.001338
0.079208	0.059406	0.002009	0.002008
0.079208	0.079208	0.002681	0.002681
0.079208	0.099010	0.003356	0.003356
0.079208	0.118812	0.004035	0.004034
0.079208	0.138614	0.004717	0.004716
0.079208	0.158416	0.005404	0.005403
0.079208	0.178218	0.006096	0.006095
0.079208	0.198020	0.006794	0.006793
0.079208	0.217822	0.007499	0.007498
0.079208	0.237624	0.008211	0.008209
0.079208	0.257426	0.008931	0.008929
0.079208	0.277228	0.009659	0.009657
0.079208	0.297030	0.010397	0.010395
0.079208	0.316832	0.011145	0.011143
0.079208	0.336634	0.011903	0.011901
0.079208	0.356436	0.012673	0.012671
0.079208	0.376238	0.013456	0.013454
0.079208	0.396040	0.014251	0.014249
0.079208	0.415842	0.015060	0.015058
0.079208	0.435644	0.015884	0.015882
0.079208	0.455446	0.016723	0.016721
0.079208	0.475248	0.017579	0.017576
0.079208	0.495050	0.018451	0.018448
0.079208	0.514851	0.019341	0.019338
0.079208	0.534653	0.020250	0.020247
0.079208	0.554455	0.021179	0.021175
0.079208	0.574257	0.022127	0.022124
0.079208	0.594059	0.023098	0.023094
0.079208	0.613861	0.024091	0.024087
0.079208	0.633663	0.025107	0.025103
0.079208	0.653465	0.026147	0.026143
0.079208	0.673267	0.027213	0.027209
0.079208	0.693069	0.028304	0.028300
0.079208	0.712871	0.029424	0.029420
0.079208	0.732673	0.030572	0.030567
0.079208	0.752475	0.031749	0.031745
0.079208	0.772277	0.032957	0.032952
0.079208	0.792079	0.034197	0.034192
0.079208	0.811881	0.035470	0.035465
0.079208	0.831683	0.036777	0.036773
0.079208	0.851485	0.038120	0.038115
0.079208	0.871287	0.039500	0.039495
0.079208	0.891089	0.040918	0.040913
0.079208	0.910891	0.042376	0.042370
0.079208	0.930693	0.043874	0.043869
0.079208	0.950495	0.045415	0.045410
0.079208	0.970297	0.047000	0.046995
0.079208	0.990099	0.048631	0.048625
0.079208	1.009901	0.050308	0.050303
0.079208	1.029703	0.052035	0.052029
0.079208	1.049505	0.053811	0.053805
0.079208	1.069307	0.055640	0.055634
0.079208	1.089109	0.057522	0.057516
0.079208	1.108911	0.059460	0.059454
0.079208	1.128713	0.061456	0.061449
0.079208	1.148515	0.063511	0.063504
0.079208	1.168317	0.065627	0.065621
0.079208	1.188119	0.067807	0.067801
0.079208	1.207921	0.070053	0.070046
0.079208	1.227723	0.072366	0.072359
0.079208	1.247525	0.074749	0.074743
0.079208	1.267327	0.077205	0.077198
0.079208	1.287129	0.079735	0.079729
0.079208	1.306931	0.082343	0.082336
0.079208	1.326733	0.085030	0.085023
0.079208	1.346535	0.087800	0.087793
0.079208	1.366337	0.090654	0.090647
0.079208	1.386139	0.093596	0.093589
0.079208	1.405941	0.096629	0.096622
0.079208	1.425743	0.099755	0.099748
0.079208	1.445545	0.102977	0.102970
0.079208	1.465347	0.106299	0.106293
0.079208	1.485149	0.109725	0.109718
0.079208	1.504950	0.113256	0.113249
0.079208	1.524752	0.116896	0.116890
0.079208	1.544554	0.120650	0.120644
0.079208	1.564356	0.124521	0.124514
0.079208	1.584158	0.128512	0.128505
0.079208	1.603960	0.132627	0.132621
0.079208	1.623762	0.136871	0.136865
0.079208	1.643564	0.141247	0.141241
0.079208	1.663366	0.145760	0.145754
0.079208	1.683168	0.150414	0.150408
0.079208	1.702970	0.155213	0.155207
0.079208	1.722772	0.160162	0.160157
0.079208	1.742574	0.165267	0.165262
0.079208	1.762376	0.170531	0.170526
0.079208	1.782178	0.175960	0.175956
0.079208	1.801980	0.181560	0.181555
0.079208	1.821782	0.187335	0.187331
0.079208	1.841584	0.193291	0.193287
0.079208	1.861386	0.199435	0.199431
0.079208	1.881188	0.205771	0.205768
0.079208	1.900990	0.212306	0.212304
0.079208	1.920792	0.219047	0.219045
0.079208	1.940594	0.226000	0.225998
0.079208	1.960396	0.233171	0.233170
0.079208	1.980198	0.240568	0.240567
0.079208	2.000000	0.248198	0.248198
0.099010	0.000000	0.000000	0.000000
0.099010	0.019802	0.000835	0.000835
0.099010	0.039604	0.001670	0.001670
0.099010	0.059406	0.002507	0.002507
0.099010	0.079208	0.003347	0.003346
0.099010	0.099010	0.004190	0.004189
0.099010	0.118812	0.005036	0.005035
0.099010	0.138614	0.005888	0.005887
0.099010	0.158416	0.006745	0.006744
0.099010	0.178218	0.007609	0.007608
0.099010	0.198020	0.008481	0.008479
0.099010	0.217822	0.009360	0.009358
0.099010	0.237624	0.010249	0.010247
0.099010	0.257426	0.011147	0.011145
0.099010	0.277228	0.012056	0.012054
0.099010	0.297030	0.012977	0.012975
0.099010	0.316832	0.013911	0.013908
0.099010	0.336634	0.014857	0.014855
0.099010	0.356436	0.015819	0.015816
0.099010	0.376238	0.016795	0.016793
0.099010	0.396040	0.017788	0.017785
0.099010	0.415842	0.018798	0.018795
0.099010	0.435644	0.019826	0.019823
0.099010	0.455446	0.020874	0.020870
0.099010	0.475248	0.021941	0.021938
0.099010	0.495050	0.023030	0.023027
0.099010	0.514851	0.024141	0.024138
0.099010	0.534653	0.025276	0.025272
0.099010	0.554455	0.026435	0.026431
0.099010	0.574257	0.027619	0.027615
0.099010	0.594059	0.028830	0.028826
0.099010	0.613861	0.030069	0.030065
0.099010	0.633663	0.031338	0.031333
0.099010	0.653465	0.032636	0.032631
0.099010	0.673267	0.033966	0.033961
0.099010	0.693069	0.035329	0.035324
0.099010	0.712871	0.036726	0.036721
0.099010	0.732673	0.038159	0.038154
0.099010	0.752475	0.039629	0.039623
0.099010	0.772277	0.041136	0.041131
0.099010	0.792079	0.042684	0.042678
0.099010	0.811881	0.044273	0.044267
0.099010	0.831683	0.045905	0.045899
0.099010	0.851485	0.047581	0.047575
0.099010	0.871287	0.049303	0.049297
0.099010	0.891089	0.051073	0.051067
0.099010	0.910891	0.052893	0.052886
0.099010	0.930693	0.054763	0.054757
0.099010	0.950495	0.056687	0.056680
0.099010	0.970297	0.058665	0.058658
0.099010	0.990099	0.060700	0.060693
0.099010	1.009901	0.062794	0.062787
0.099010	1.029703	0.064949	0.064941
0.099010	1.049505	0.067166	0.067159
0.099010	1.069307	0.069449	0.069441
0.099010	1.089109	0.071798	0.071791
0.099010	1.108911	0.074217	0.074209
0.099010	1.128713	0.076708	0.076700
0.099010	1.148515	0.079273	0.079265
0.099010	1.168317	0.081915	0.081907
0.099010	1.188119	0.084636	0.084628
0.099010	1.207921	0.087439	0.087431
0.099010	1.227723	0.090326	0.090318
0.099010	1.247525	0.093301	0.093293
0.099010	1.267327	0.096366	0.096358
0.099010	1.287129	0.099525	0.099516
0.099010	1.306931	0.102779	0.102771
0.099010	1.326733	0.106133	0.106125
0.099010	1.346535	0.109590	0.109581
0.099010	1.366337	0.113153	0.113144
0.099010	1.386139	0.116825	0.116816
0.099010	1.405941	0.120610	0.120602
0.099010	1.425743	0.124512	0.124504
0.099010	1.445545	0.128535	0.128526
0.099010	1.465347	0.132681	0.132673
0.099010	1.485149	0.136956	0.136948
0.099010	1.504950	0.141364	0.141356
0.099010	1.524752	0.145908	0.145900
0.099010	1.544554	0.150594	0.150586
0.099010	1.564356	0.155425	0.155417
0.099010	1.584158	0.160407	0.160399
0.099010	1.603960	0.165543	0.165535
0.099010	1.623762	0.170840	0.170833
0.099010	1.643564	0.176303	0.176295
0.099010	1.663366	0.181935	0.181928
0.099010	1.683168	0.187744	0.187737
0.099010	1.702970	0.193734	0.193727
0.099010	1.722772	0.199912	0.199905
0.099010	1.742574	0.206283	0.206277
0.099010	1.762376	0.212854	0.212848
0.099010	1.782178	0.219631	0.219625
0.099010	1.801980	0.226620	0.226615
0.099010	1.821782	0.233829	0.233823
0.099010	1.841584	0.241263	0.241258
0.099010	1.861386	0.248931	0.248927
0.099010	1.881188	0.256840	0.256836
0.099010	1.900990	0.264997	0.264994
0.099010	1.920792	0.273411	0.273408
0.099010	1.940594	0.282089	0.282087
0.099010	1.960396	0.291040	0.291039
0.099010	1.980198	0.300273	0.300272
0.099010	2.000000	0.309796	0.309796
0.118812	0.000000	0.000000	0.000000
0.118812	0.019802	0.001000	0.001000
0.118812	0.039604	0.002001	0.002000
0.118812	0.059406	0.003003	0.003003
0.118812	0.079208	0.004009	0.004008
0.118812	0.099010	0.005019	0.005018
0.118812	0.118812	0.006033	0.006032
0.118812	0.138614	0.007053	0.007052
0.118812	0.158416	0.008080	0.008079
0.118812	0.178218	0.009115	0.009113
0.118812	0.198020	0.010159	0.010157
0.118812	0.217822	0.011212	0.011210
0.118812	0.237624	0.012276	0.012274
0.118812	0.257426	0.013353	0.013350
0.118812	0.277228	0.014442	0.014439
0.118812	0.297030	0.015545	0.015542
0.118812	0.316832	0.016663	0.016660
0.118812	0.336634	0.017797	0.017794
0.118812	0.356436	0.018949	0.018946
0.118812	0.376238	0.020119	0.020115
0.118812	0.396040	0.021308	0.021304
0.118812	0.415842	0.022518	0.022514
0.118812	0.435644	0.023749	0.023746
0.118812	0.455446	0.025004	0.025000
0.118812	0.475248	0.026283	0.026279
0.118812	0.495050	0.027587	0.027583
0.118812	0.514851	0.028918	0.028914
0.118812	0.534653	0.030277	0.030272
0.118812	0.554455	0.031665	0.031660
0.118812	0.574257	0.033084	0.033079
0.118812	0.594059	0.034535	0.034530
0.118812	0.613861	0.036019	0.036014
0.118812	0.633663	0.037538	0.037533
0.118812	0.653465	0.039094	0.039088
0.118812	0.673267	0.040687	0.040681
0.118812	0.693069	0.042320	0.042314
0.118812	0.712871	0.043993	0.043987
0.118812	0.732673	0.045709	0.045703
0.118812	0.752475	0.047470	0.047463
0.118812	0.772277	0.049276	0.049269
0.118812	0.792079	0.051130	0.051123
0.118812	0.811881	0.053033	0.053026
0.118812	0.831683	0.054988	0.054981
0.118812	0.851485	0.056996	0.056989
0.118812	0.871287	0.059059	0.059051
0.118812	0.891089	0.061179	0.061172
0.118812	0.910891	0.063359	0.063351
0.118812	0.930693	0.065599	0.065591
0.118812	0.950495	0.067903	0.067895
0.118812	0.970297	0.070273	0.070265
0.118812	0.990099	0.072711	0.072703
0.118812	1.009901	0.075219	0.075211
0.118812	1.029703	0.077800	0.077791
0.118812	1.049505	0.080456	0.080447
0.118812	1.069307	0.083190	0.083181
0.118812	1.089109	0.086005	0.085996
0.118812	1.108911	0.088903	0.088893
0.118812	1.128713	0.091886	0.091877
0.118812	1.148515	0.094959	0.094949
0.118812	1.168317	0.098123	0.098114
0.118812	1.188119	0.101383	0.101373
0.118812	1.207921	0.104740	0.104730
0.118812	1.227723	0.108199	0.108189
0.118812	1.247525	0.111763	0.111753
0.118812	1.267327	0.115434	0.115424
0.118812	1.287129	0.119217	0.119207
0.118812	1.306931	0.123116	0.123106
0.118812	1.326733	0.127134	0.127124
0.118812	1.346535	0.131275	0.131264
0.118812	1.366337	0.135542	0.135532
0.118812	1.386139	0.139941	0.139931
0.118812	1.405941	0.144475	0.144465
0.118812	1.425743	0.149149	0.149139
0.118812	1.445545	0.153968	0.153957
0.118812	1.465347	0.158935	0.158925
0.118812	1.485149	0.164056	0.164046
0.118812	1.504950	0.169336	0.169325
0.118812	1.524752	0.174779	0.174769
0.118812	1.544554	0.180392	0.180382
0.118812	1.564356	0.186179	0.186169
0.118812	1.584158	0.192146	0.192137
0.118812	1.603960	0.198299	0.198290
0.118812	1.623762	0.204644	0.204635
0.118812	1.643564	0.211187	0.211178
0.118812	1.663366	0.217935	0.217926
0.118812	1.683168	0.224893	0.224884
