x	y	T	T(actual)
0.000000	0.000000	0.000000	0.000000
0.000000	0.009804	0.000000	0.000000
0.000000	0.019608	0.000000	0.000000
0.000000	0.029412	0.000000	0.000000
0.000000	0.039216	0.000000	0.000000
0.000000	0.049020	0.000000	0.000000
0.000000	0.058824	0.000000	0.000000
0.000000	0.068627	0.000000	0.000000
0.000000	0.078431	0.000000	0.000000
0.000000	0.088235	0.000000	0.000000
0.000000	0.098039	0.000000	0.000000
0.000000	0.107843	0.000000	0.000000
0.000000	0.117647	0.000000	0.000000
0.000000	0.127451	0.000000	0.000000
0.000000	0.137255	0.000000	0.000000
0.000000	0.147059	0.000000	0.000000
0.000000	0.156863	0.000000	0.000000
0.000000	0.166667	0.000000	0.000000
0.000000	0.176471	0.000000	0.000000
0.000000	0.186275	0.000000	0.000000
0.000000	0.196078	0.000000	0.000000
0.000000	0.205882	0.000000	0.000000
0.000000	0.215686	0.000000	0.000000
0.000000	0.225490	0.000000	0.000000
0.000000	0.235294	0.000000	0.000000
0.000000	0.245098	0.000000	0.000000
0.000000	0.254902	0.000000	0.000000
0.000000	0.264706	0.000000	0.000000
0.000000	0.274510	0.000000	0.000000
0.000000	0.284314	0.000000	0.000000
0.000000	0.294118	0.000000	0.000000
0.000000	0.303922	0.000000	0.000000
0.000000	0.313725	0.000000	0.000000
0.000000	0.323529	0.000000	0.000000
0.000000	0.333333	0.000000	0.000000
0.000000	0.343137	0.000000	0.000000
0.000000	0.352941	0.000000	0.000000
0.000000	0.362745	0.000000	0.000000
0.000000	0.372549	0.000000	0.000000
0.000000	0.382353	0.000000	0.000000
0.000000	0.392157	0.000000	0.000000
0.000000	0.401961	0.000000	0.000000
0.000000	0.411765	0.000000	0.000000
0.000000	0.421569	0.000000	0.000000
0.000000	0.431373	0.000000	0.000000
0.000000	0.441176	0.000000	0.000000
0.000000	0.450980	0.000000	0.000000
0.000000	0.460784	0.000000	0.000000
0.000000	0.470588	0.000000	0.000000
0.000000	0.480392	0.000000	0.000000
0.000000	0.490196	0.000000	0.000000
0.000000	0.500000	0.000000	0.000000
0.000000	0.509804	0.000000	0.000000
0.000000	0.519608	0.000000	0.000000
0.000000	0.529412	0.000000	0.000000
0.000000	0.539216	0.000000	0.000000
0.000000	0.549020	0.000000	0.000000
0.000000	0.558824	0.000000	0.000000
0.000000	0.568627	0.000000	0.000000
0.000000	0.578431	0.000000	0.000000
0.000000	0.588235	0.000000	0.000000
0.000000	0.598039	0.000000	0.000000
0.000000	0.607843	0.000000	0.000000
0.000000	0.617647	0.000000	0.000000
0.000000	0.627451	0.000000	0.000000
0.000000	0.637255	0.000000	0.000000
0.000000	0.647059	0.000000	0.000000
0.000000	0.656863	0.000000	0.000000
0.000000	0.666667	0.000000	0.000000
0.000000	0.676471	0.000000	0.000000
0.000000	0.686275	0.000000	0.000000
0.000000	0.696078	0.000000	0.000000
0.000000	0.705882	0.000000	0.000000
0.000000	0.715686	0.000000	0.000000
0.000000	0.725490	0.000000	0.000000
0.000000	0.735294	0.000000	0.000000
0.000000	0.745098	0.000000	0.000000
0.000000	0.754902	0.000000	0.000000
0.000000	0.764706	0.000000	0.000000
0.000000	0.774510	0.000000	0.000000
0.000000	0.784314	0.000000	0.000000
0.000000	0.794118	0.000000	0.000000
0.000000	0.803922	0.000000	0.000000
0.000000	0.813725	0.000000	0.000000
0.000000	0.823529	0.000000	0.000000
0.000000	0.833333	0.000000	0.000000
0.000000	0.843137	0.000000	0.000000
0.000000	0.852941	0.000000	0.000000
0.000000	0.862745	0.000000	0.000000
0.000000	0.872549	0.000000	0.000000
0.000000	0.882353	0.000000	0.000000
0.000000	0.892157	0.000000	0.000000
0.000000	0.901961	0.000000	0.000000
0.000000	0.911765	0.000000	0.000000
0.000000	0.921569	0.000000	0.000000
0.000000	0.931373	0.000000	0.000000
0.000000	0.941176	0.000000	0.000000
0.000000	0.950980	0.000000	0.000000
0.000000	0.960784	0.000000	0.000000
0.000000	0.970588	0.000000	0.000000
0.000000	0.980392	0.000000	0.000000
0.000000	0.990196	0.000000	0.000000
0.000000	1.000000	1.000000	0.000000
0.009804	0.000000	0.000000	0.000000
0.009804	0.009804	0.000105	0.000105
0.009804	0.019608	0.000210	0.000210
0.009804	0.029412	0.000316	0.000316
0.009804	0.039216	0.000422	0.000422
0.009804	0.049020	0.000528	0.000528
0.009804	0.058824	0.000635	0.000635
0.009804	0.068627	0.000742	0.000742
0.009804	0.078431	0.000850	0.000850
0.009804	0.088235	0.000959	0.000959
0.009804	0.098039	0.001069	0.001069
0.009804	0.107843	0.001180	0.001180
0.009804	0.117647	0.001292	0.001292
0.009804	0.127451	0.001406	0.001406
0.009804	0.137255	0.001521	0.001520
0.009804	0.147059	0.001637	0.001637
0.009804	0.156863	0.001755	0.001755
0.009804	0.166667	0.001875	0.001875
0.009804	0.176471	0.001997	0.001996
0.009804	0.186275	0.002120	0.002120
0.009804	0.196078	0.002246	0.002246
0.009804	0.205882	0.002374	0.002374
0.009804	0.215686	0.002505	0.002505
0.009804	0.225490	0.002638	0.002638
0.009804	0.235294	0.002774	0.002773
0.009804	0.245098	0.002913	0.002912
0.009804	0.254902	0.003054	0.003054
0.009804	0.264706	0.003199	0.003199
0.009804	0.274510	0.003347	0.003347
0.009804	0.284314	0.003499	0.003499
0.009804	0.294118	0.003654	0.003654
0.009804	0.303922	0.003814	0.003813
0.009804	0.313725	0.003977	0.003976
0.009804	0.323529	0.004144	0.004144
0.009804	0.333333	0.004316	0.004316
0.009804	0.343137	0.004493	0.004493
0.009804	0.352941	0.004675	0.004674
0.009804	0.362745	0.004861	0.004861
0.009804	0.372549	0.005054	0.005053
0.009804	0.382353	0.005251	0.005251
0.009804	0.392157	0.005455	0.005454
0.009804	0.401961	0.005665	0.005664
0.009804	0.411765	0.005881	0.005880
0.009804	0.421569	0.006105	0.006104
0.009804	0.431373	0.006335	0.006334
0.009804	0.441176	0.006573	0.006572
0.009804	0.450980	0.006819	0.006818
0.009804	0.460784	0.007073	0.007072
0.009804	0.470588	0.007336	0.007335
0.009804	0.480392	0.007608	0.007607
0.009804	0.490196	0.007890	0.007889
0.009804	0.500000	0.008182	0.008181
0.009804	0.509804	0.008485	0.008484
0.009804	0.519608	0.008800	0.008798
0.009804	0.529412	0.009126	0.009124
0.009804	0.539216	0.009465	0.009464
0.009804	0.549020	0.009818	0.009816
0.009804	0.558824	0.010186	0.010183
0.009804	0.568627	0.010568	0.010566
0.009804	0.578431	0.010967	0.010965
0.009804	0.588235	0.011383	0.011381
0.009804	0.598039	0.011818	0.011815
0.009804	0.607843	0.012273	0.012270
0.009804	0.617647	0.012749	0.012746
0.009804	0.627451	0.013248	0.013244
0.009804	0.637255	0.013772	0.013768
0.009804	0.647059	0.014322	0.014317
0.009804	0.656863	0.014900	0.014896
0.009804	0.666667	0.015510	0.015505
0.009804	0.676471	0.016154	0.016149
0.009804	0.686275	0.016835	0.016829
0.009804	0.696078	0.017556	0.017549
0.009804	0.705882	0.018321	0.018313
0.009804	0.715686	0.019134	0.019126
0.009804	0.725490	0.020002	0.019992
0.009804	0.735294	0.020928	0.020918
0.009804	0.745098	0.021921	0.021909
0.009804	0.754902	0.022987	0.022974
0.009804	0.764706	0.024137	0.024122
0.009804	0.774510	0.025379	0.025362
0.009804	0.784314	0.026728	0.026709
0.009804	0.794118	0.028198	0.028176
0.009804	0.803922	0.029807	0.029781
0.009804	0.813725	0.031576	0.031546
0.009804	0.823529	0.033533	0.033497
0.009804	0.833333	0.035709	0.035667
0.009804	0.843137	0.038147	0.038096
0.009804	0.852941	0.040897	0.040835
0.009804	0.862745	0.044027	0.043951
0.009804	0.872549	0.047624	0.047530
0.009804	0.882353	0.051805	0.051685
0.009804	0.892157	0.056728	0.056573
0.009804	0.901961	0.062615	0.062410
0.009804	0.911765	0.069788	0.069507
0.009804	0.921569	0.078725	0.078331
0.009804	0.931373	0.090181	0.089602
0.009804	0.941176	0.105401	0.104508
0.009804	0.950980	0.126601	0.125141
0.009804	0.960784	0.158075	0.155538
0.009804	0.970588	0.209074	0.204519
0.009804	0.980392	0.302137	0.295017
0.009804	0.990196	0.499895	0.503227
0.009804	1.000000	1.000000	1.178624
0.019608	0.000000	0.000000	0.000000
0.019608	0.009804	0.000210	0.000210
0.019608	0.019608	0.000421	0.000421
0.019608	0.029412	0.000632	0.000632
0.019608	0.039216	0.000843	0.000843
0.019608	0.049020	0.001056	0.001055
0.019608	0.058824	0.001269	0.001269
0.019608	0.068627	0.001484	0.001483
0.019608	0.078431	0.001700	0.001700
0.019608	0.088235	0.001918	0.001917
0.019608	0.098039	0.002137	0.002137
0.019608	0.107843	0.002359	0.002359
0.019608	0.117647	0.002583	0.002583
0.019608	0.127451	0.002810	0.002810
0.019608	0.137255	0.003040	0.003039
0.019608	0.147059	0.003272	0.003272
0.019608	0.156863	0.003508	0.003508
0.019608	0.166667	0.003748	0.003747
0.019608	0.176471	0.003991	0.003991
0.019608	0.186275	0.004238	0.004238
0.019608	0.196078	0.004490	0.004489
0.019608	0.205882	0.004746	0.004746
0.019608	0.215686	0.005007	0.005007
0.019608	0.225490	0.005273	0.005273
0.019608	0.235294	0.005545	0.005544
0.019608	0.245098	0.005822	0.005821
0.019608	0.254902	0.006105	0.006104
0.019608	0.264706	0.006395	0.006394
0.019608	0.274510	0.006691	0.006690
0.019608	0.284314	0.006994	0.006993
0.019608	0.294118	0.007305	0.007304
0.019608	0.303922	0.007623	0.007622
0.019608	0.313725	0.007950	0.007948
0.019608	0.323529	0.008284	0.008283
0.019608	0.333333	0.008628	0.008627
0.019608	0.343137	0.008981	0.008980
0.019608	0.352941	0.009344	0.009343
0.019608	0.362745	0.009718	0.009716
0.019608	0.372549	0.010102	0.010100
0.019608	0.382353	0.010497	0.010495
0.019608	0.392157	0.010904	0.010902
0.019608	0.401961	0.011323	0.011322
0.019608	0.411765	0.011756	0.011754
0.019608	0.421569	0.012202	0.012200
0.019608	0.431373	0.012662	0.012661
0.019608	0.441176	0.013138	0.013136
0.019608	0.450980	0.013629	0.013627
0.019608	0.460784	0.014137	0.014135
0.019608	0.470588	0.014663	0.014660
0.019608	0.480392	0.015207	0.015204
0.019608	0.490196	0.015770	0.015767
0.019608	0.500000	0.016354	0.016351
0.019608	0.509804	0.016959	0.016956
0.019608	0.519608	0.017587	0.017584
0.019608	0.529412	0.018239	0.018236
0.019608	0.539216	0.018917	0.018914
0.019608	0.549020	0.019622	0.019618
0.019608	0.558824	0.020356	0.020352
0.019608	0.568627	0.021120	0.021115
0.019608	0.578431	0.021917	0.021912
0.019608	0.588235	0.022748	0.022743
0.019608	0.598039	0.023617	0.023611
0.019608	0.607843	0.024525	0.024519
0.019608	0.617647	0.025475	0.025469
0.019608	0.627451	0.026471	0.026464
0.019608	0.637255	0.027516	0.027509
0.019608	0.647059	0.028615	0.028606
0.019608	0.656863	0.029770	0.029760
0.019608	0.666667	0.030987	0.030977
0.019608	0.676471	0.032272	0.032260
0.019608	0.686275	0.033629	0.033617
0.019608	0.696078	0.035067	0.035054
0.019608	0.705882	0.036593	0.036578
0.019608	0.715686	0.038215	0.038198
0.019608	0.725490	0.039944	0.039925
0.019608	0.735294	0.041790	0.041770
0.019608	0.745098	0.043768	0.043745
0.019608	0.754902	0.045892	0.045866
0.019608	0.764706	0.048180	0.048150
0.019608	0.774510	0.050653	0.050619
0.019608	0.784314	0.053336	0.053297
0.019608	0.794118	0.056257	0.056213
0.019608	0.803922	0.059453	0.059402
0.019608	0.813725	0.062965	0.062906
0.019608	0.823529	0.066845	0.066776
0.019608	0.833333	0.071157	0.071076
0.019608	0.843137	0.075980	0.075883
0.019608	0.852941	0.081414	0.081297
0.019608	0.862745	0.087587	0.087445
0.019608	0.872549	0.094665	0.094489
0.019608	0.882353	0.102868	0.102647
0.019608	0.892157	0.112492	0.112211
0.019608	0.901961	0.123946	0.123582
0.019608	0.911765	0.137810	0.137330
0.019608	0.921569	0.154933	0.154285
0.019608	0.931373	0.176597	0.175705
0.019608	0.941176	0.204821	0.203575
0.019608	0.950980	0.242929	0.241188
0.019608	0.960784	0.296626	0.294327
0.019608	0.970588	0.376083	0.373701
0.019608	0.980392	0.499579	0.499499
0.019608	0.990196	0.697442	0.701585
0.019608	1.000000	1.000000	0.903535
0.029412	0.000000	0.000000	0.000000
0.029412	0.009804	0.000315	0.000315
0.029412	0.019608	0.000631	0.000631
0.029412	0.029412	0.000947	0.000947
0.029412	0.039216	0.001264	0.001264
0.029412	0.049020	0.001582	0.001582
0.029412	0.058824	0.001902	0.001902
0.029412	0.068627	0.002224	0.002223
0.029412	0.078431	0.002547	0.002547
0.029412	0.088235	0.002874	0.002874
0.029412	0.098039	0.003203	0.003203
0.029412	0.107843	0.003536	0.003535
0.029412	0.117647	0.003872	0.003871
0.029412	0.127451	0.004212	0.004211
0.029412	0.137255	0.004556	0.004555
0.029412	0.147059	0.004905	0.004904
0.029412	0.156863	0.005258	0.005258
0.029412	0.166667	0.005617	0.005616
0.029412	0.176471	0.005982	0.005981
0.029412	0.186275	0.006352	0.006352
0.029412	0.196078	0.006729	0.006729
0.029412	0.205882	0.007113	0.007112
0.029412	0.215686	0.007504	0.007503
0.029412	0.225490	0.007903	0.007902
0.029412	0.235294	0.008310	0.008309
0.029412	0.245098	0.008725	0.008724
0.029412	0.254902	0.009150	0.009149
0.029412	0.264706	0.009584	0.009583
0.029412	0.274510	0.010028	0.010027
0.029412	0.284314	0.010482	0.010481
0.029412	0.294118	0.010948	0.010946
0.029412	0.303922	0.011425	0.011423
0.029412	0.313725	0.011914	0.011912
0.029412	0.323529	0.012415	0.012414
0.029412	0.333333	0.012931	0.012929
0.029412	0.343137	0.013460	0.013458
0.029412	0.352941	0.014004	0.014002
0.029412	0.362745	0.014563	0.014561
0.029412	0.372549	0.015138	0.015136
0.029412	0.382353	0.015730	0.015728
0.029412	0.392157	0.016340	0.016338
0.029412	0.401961	0.016969	0.016966
0.029412	0.411765	0.017617	0.017614
0.029412	0.421569	0.018285	0.018282
0.029412	0.431373	0.018975	0.018972
0.029412	0.441176	0.019687	0.019684
0.029412	0.450980	0.020423	0.020420
0.029412	0.460784	0.021184	0.021181
0.029412	0.470588	0.021971	0.021968
0.029412	0.480392	0.022786	0.022782
0.029412	0.490196	0.023629	0.023625
0.029412	0.500000	0.024504	0.024499
0.029412	0.509804	0.025410	0.025405
0.029412	0.519608	0.026351	0.026346
0.029412	0.529412	0.027327	0.027322
0.029412	0.539216	0.028342	0.028337
0.029412	0.549020	0.029397	0.029391
0.029412	0.558824	0.030496	0.030489
0.029412	0.568627	0.031639	0.031633
0.029412	0.578431	0.032832	0.032825
0.029412	0.588235	0.034076	0.034068
0.029412	0.598039	0.035375	0.035367
0.029412	0.607843	0.036734	0.036725
0.029412	0.617647	0.038156	0.038146
0.029412	0.627451	0.039646	0.039635
0.029412	0.637255	0.041209	0.041197
0.029412	0.647059	0.042850	0.042838
0.029412	0.656863	0.044577	0.044563
0.029412	0.666667	0.046396	0.046381
0.029412	0.676471	0.048316	0.048299
0.029412	0.686275	0.050344	0.050326
0.029412	0.696078	0.052491	0.052471
0.029412	0.705882	0.054769	0.054747
0.029412	0.715686	0.057189	0.057165
0.029412	0.725490	0.059768	0.059741
0.029412	0.735294	0.062521	0.062491
0.029412	0.745098	0.065468	0.065435
0.029412	0.754902	0.068632	0.068594
0.029412	0.764706	0.072038	0.071995
0.029412	0.774510	0.075717	0.075668
0.029412	0.784314	0.079704	0.079649
0.029412	0.794118	0.084043	0.083980
0.029412	0.803922	0.088783	0.088711
0.029412	0.813725	0.093986	0.093903
0.029412	0.823529	0.099727	0.099629
0.029412	0.833333	0.106095	0.105981
0.029412	0.843137	0.113203	0.113068
0.029412	0.852941	0.121193	0.121032
0.029412	0.862745	0.130243	0.130049
0.029412	0.872549	0.140581	0.140347
0.029412	0.882353	0.152510	0.152222
0.029412	0.892157	0.166425	0.166069
0.029412	0.901961	0.182865	0.182420
0.029412	0.911765	0.202574	0.202013
0.029412	0.921569	0.226599	0.225890
0.029412	0.931373	0.256451	0.255562
0.029412	0.941176	0.294360	0.293279
0.029412	0.950980	0.343667	0.342467
0.029412	0.960784	0.409416	0.408404
0.029412	0.970588	0.499053	0.499056
0.029412	0.980392	0.622655	0.625112
0.029412	0.990196	0.790295	0.797246
0.029412	1.000000	1.000000	1.065120
0.039216	0.000000	0.000000	0.000000
